area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,Ready To Move,Arekere,nihtsss,1240.0,2,2,60.0,2,0
Super built-up  Area,22-Nov,Devanahalli,sabixtt,1466.0,3,3,77.59,3,0
Super built-up  Area,Ready To Move,Outer Ring Road East,prstate,3870.0,4,2,411.0,4,0
Built-up  Area,Ready To Move,Kaggadasapura,vsomepi,1225.0,2,2,48.0,2,0
Super built-up  Area,Ready To Move,Akshaya Nagar,javasi ,1300.0,2,1,54.0,2,0
Super built-up  Area,19-May,Thanisandra,g conth,1996.0,4,1,123.0,3,0
Super built-up  Area,Ready To Move,Mallathahalli,independent,1320.0,2,2,55.0,3,0
Super built-up  Area,Ready To Move,Rajaji Nagar,brway g,1800.0,3,2,240.0,3,0
Super built-up  Area,Ready To Move,Richmond Town,independent,1835.0,3,3,175.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,puinesu,1435.0,3,2,90.0,3,0
Super built-up  Area,Ready To Move,Rayasandra,mjeusyl,1601.0,3,3,70.0,3,0
Super built-up  Area,Ready To Move,Kadubeesanahalli,krshi g,1257.0,2,2,93.0,2,0
Super built-up  Area,Ready To Move,Iblur Village,emine p,3596.0,5,1,260.0,4,0
Super built-up  Area,Ready To Move,Kasavanhalli,salisal,1309.0,2,2,95.0,2,0
Plot  Area,Ready To Move,Yeshwanthpur,independent,1362.0,2,0,100.0,2,1
Super built-up  Area,Ready To Move,Whitefield,gamesti,1115.0,2,1,55.0,2,0
Super built-up  Area,18-Nov,manyata park,independent,1322.0,2,1,61.99,2,0
Super built-up  Area,Ready To Move,Telecom Layout,independent,1450.0,2,1,65.0,3,0
Super built-up  Area,Ready To Move,Banashankari,goeesem,1185.0,2,2,67.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1790.0,3,3,120.0,3,0
Plot  Area,Ready To Move,Whitefield,stodswa,3450.0,4,2,208.0,3,1
Super built-up  Area,Ready To Move,Budigere,pritytr,693.0,1,0,27.38,1,0
Super built-up  Area,Ready To Move,Devanahalli,independent,775.0,1,0,39.0,1,0
Built-up  Area,Ready To Move,Hoodi,macanr ,1000.0,2,2,48.0,2,0
Super built-up  Area,19-Mar,Thanisandra,bhe 2ko,1183.0,2,1,77.25,2,0
Super built-up  Area,Ready To Move,Alur,independent,425.0,1,1,15.0,1,0
Built-up  Area,Ready To Move,Nelamangala,independent,820.0,2,2,30.0,2,0
Built-up  Area,Ready To Move,Hebbal,srntsha,1200.0,2,2,52.0,2,0
Super built-up  Area,18-Jun,Ramagondanahalli,viistla,1151.0,2,2,43.6,2,0
Super built-up  Area,Ready To Move,Hulimavu,naepa d,1320.0,2,2,59.0,3,0
Carpet  Area,18-Apr,Bikasipura,independent,1450.0,3,2,68.0,3,0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,independent,1270.0,2,3,50.79,3,0
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,1847.0,3,2,123.0,3,0
Super built-up  Area,18-May,Devanahalli,pardsri,1020.0,2,1,49.87,1,0
Super built-up  Area,Ready To Move,Somasundara Palya,manceel,1650.0,3,0,95.0,3,0
Super built-up  Area,Ready To Move,Richmond Town,independent,2380.0,4,3,242.0,4,0
Built-up  Area,Ready To Move,Electronic City,independent,2400.0,2,0,78.0,3,0
Super built-up  Area,18-Aug,Haralur Road,snnia e,2805.0,4,3,154.0,4,0
Super built-up  Area,18-Jun,Mysore Road,gopia o,1360.0,3,0,47.6,3,0
Super built-up  Area,Ready To Move,Brookefield,saandvi,1089.0,2,1,49.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,reverve,1115.0,2,2,60.0,2,0
Super built-up  Area,Ready To Move,Kudlu Gate,independent,1215.0,2,1,45.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1194.0,2,1,51.0,2,0
Super built-up  Area,18-Dec,Kannamangala,sonue a,1536.0,3,1,104.0,3,0
Super built-up  Area,Ready To Move,Hennur,independent,1255.0,2,2,55.5,2,0
Super built-up  Area,17-Oct,Electronic City,prarkun,1571.0,3,2,83.0,3,0
Plot  Area,Ready To Move,Virupakshapura,independent,900.0,1,0,70.0,2,1
Super built-up  Area,Ready To Move,Keshava Nagar,etens g,1517.0,2,2,125.0,2,0
Super built-up  Area,Ready To Move,Budigere,pritytr,664.0,1,1,35.4,1,0
Super built-up  Area,Ready To Move, Devarachikkanahalli,wiaysld,1230.0,2,1,58.0,2,0
Super built-up  Area,Ready To Move,Hegde Nagar,inaadd ,1340.0,2,2,72.0,2,0
Super built-up  Area,Ready To Move,Attibele,dsvar s,1175.0,2,1,29.38,2,0
Super built-up  Area,Ready To Move,Sarjapur,independent,1240.0,2,2,43.1,2,0
Built-up  Area,Ready To Move,V.V Puram,independent,1359.99,2,0,150.0,3,0
Super built-up  Area,Ready To Move,Electronic City,dsgmax ,1470.0,2,1,44.1,3,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,525.0,1,0,29.25,1,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1680.0,3,2,117.0,3,0
Super built-up  Area,Ready To Move,Sri Sai Layout,independent,1000.0,2,2,35.0,2,0
Super built-up  Area,Ready To Move,Gunjur,myhtshe,1071.0,2,1,51.0,2,0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,ndpalse,1512.0,3,0,80.0,3,0
Built-up  Area,Ready To Move,Frazer Town,asuilnc,3435.0,2,1,341.0,4,0
Super built-up  Area,19-Dec,Thanisandra main road,independent,3144.0,3,1,455.0,3,0
Built-up  Area,Ready To Move,Kalyan nagar,saacela,1190.0,2,1,60.0,2,0
Super built-up  Area,Ready To Move,Pattandur Agrahara,maidopl,1550.0,2,3,80.0,3,0
Super built-up  Area,21-May,Kanakpura Road,golusli,1283.0,2,2,63.22,2,0
Built-up  Area,Ready To Move,Mallasandra,gmilse ,1325.0,2,2,73.0,2,0
Super built-up  Area,Ready To Move,Whitefield,smuilan,1105.0,2,1,35.36,2,0
Super built-up  Area,Ready To Move,Banaswadi,srldsri,1600.0,3,2,74.5,3,0
Plot  Area,Ready To Move,Devara Jeevanahalli,independent,400.0,2,2,35.0,4,1
Super built-up  Area,18-Apr,Kanakpura Road,prarepa,800.0,1,0,41.14,2,0
Super built-up  Area,Ready To Move,Hennur,independent,1100.0,2,1,44.55,2,0
Super built-up  Area,21-Dec,Talaghattapura,sodgere,2099.0,3,3,147.0,3,0
Super built-up  Area,Ready To Move,Yelachenahalli,baiseba,1365.0,2,1,72.0,3,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1485.0,3,3,132.0,2,0
Super built-up  Area,Ready To Move,Hosur Road,kelmsoy,1250.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,Bellandur,independent,1170.0,2,1,46.79,2,0
Super built-up  Area,19-Jul,Kanakpura Road,soazak ,1328.0,2,3,91.06,2,0
Super built-up  Area,19-Mar,Hennur Road,puachal,1232.0,2,1,87.0,2,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,independent,1180.0,2,2,88.5,2,0
Super built-up  Area,Ready To Move,Electronic City,palleon,1350.0,3,2,66.0,3,0
Super built-up  Area,18-May,Nagawara Junction,independent,3602.0,4,0,280.0,4,0
Super built-up  Area,Ready To Move,Nagasandra,independent,2400.0,4,1,145.0,4,0
Super built-up  Area,Ready To Move,Electronic City Phase II,prvanai,1020.0,2,2,32.0,2,0
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1410.0,2,3,49.34,3,0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,prbayga,2159.0,3,2,120.0,3,0
Plot  Area,Ready To Move,Anekal,vaensnd,1453.0,3,0,16.5,3,0
Super built-up  Area,18-Apr,TC Palaya,independent,1200.0,2,0,66.0,3,0
Super built-up  Area,18-Sep,Whitefield,aripsul,1074.0,2,1,42.79,2,0
Plot  Area,18-Nov,Suragajakkanahalli,prhyak ,1200.0,3,2,72.0,3,1
Super built-up  Area,18-Apr,Sarjapur,snityve,1170.0,2,2,35.41,3,0
Super built-up  Area,21-Jun,Tumkur Road,coowsri,728.5,1,0,31.32,1,0
Super built-up  Area,Ready To Move,Bommanahalli,pindswo,1660.0,2,0,100.0,3,0
Plot  Area,Ready To Move,Gattigere,independent,900.0,6,1,95.0,5,1
Built-up  Area,Ready To Move,SK Garden,independent,1850.0,3,0,175.0,6,1
Built-up  Area,Ready To Move,Gowdanapalya,independent,510.0,1,0,34.0,1,1
Super built-up  Area,Ready To Move,Mahadevpura,neony h,1601.0,3,2,95.0,3,0
Super built-up  Area,18-Mar,Begur Road,independent,952.0,2,1,42.0,2,0
Super built-up  Area,Ready To Move,PNS Layout,independent,1166.0,2,3,65.0,2,0
Built-up  Area,Ready To Move,Venkatapura,thbayah,2700.0,2,1,260.0,3,0
Built-up  Area,Ready To Move,Electronic City Phase II,rie 2 p,1900.0,3,1,97.0,4,1
Plot  Area,Ready To Move,Mathikere,independent,1350.0,2,0,175.0,3,1
Super built-up  Area,18-Aug,Haralur Road,snnia e,1520.0,2,2,96.0,3,0
Plot  Area,Ready To Move,Harsha Layout,independent,2100.0,6,3,100.0,4,1
Super built-up  Area,Ready To Move,Yelenahalli,independent,1175.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Bharathi Nagar,reudepr,1432.0,2,2,68.0,2,0
Super built-up  Area,18-Jun,Bommasandra Industrial Area,independent,1005.0,2,1,39.77,2,0
Super built-up  Area,Ready To Move,Rajiv Nagar,independent,1309.0,2,1,80.0,2,0
Super built-up  Area,Ready To Move,Dairy Circle,soeurri,2251.0,4,2,370.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1050.0,2,1,77.0,2,0
Plot  Area,Ready To Move,Sanjay nagar,independent,2400.0,3,3,310.0,3,1
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1565.0,2,2,56.34,3,0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,independent,940.0,2,1,56.0,2,0
Super built-up  Area,18-Jun,Yarandahalli,independent,1015.0,2,1,40.1,2,0
Plot  Area,Ready To Move,BTM 2nd Stage,independent,2400.0,2,0,360.0,3,1
Super built-up  Area,Ready To Move,Electronic City,sjityve,1652.0,3,3,110.0,3,0
Super built-up  Area,Ready To Move,Whitefield,independent,1100.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Rajiv Nagar,puoodsk,2340.0,4,1,145.0,4,0
Super built-up  Area,21-Jul,Koramangala,g ceses,1084.0,2,1,179.0,2,0
Plot  Area,Ready To Move,Kammanahalli,independent,1200.0,1,1,81.0,2,1
Super built-up  Area,Ready To Move,Kacharakanahalli,jpoldgo,1400.0,3,3,69.0,3,0
Plot  Area,16-Mar,HBR Layout,independent,2400.0,5,0,320.0,4,1
Super built-up  Area,18-Jul,Electronic City Phase II,sryalan,1020.0,2,1,27.43,2,0
Super built-up  Area,Ready To Move,Whitefield,pritado,1267.0,2,1,90.33,2,0
Super built-up  Area,Ready To Move,Bhoganhalli,pride s,2439.0,4,3,185.0,4,0
Built-up  Area,Ready To Move,Ashwath Nagar,sjcerpe,1645.0,3,0,95.0,3,0
Built-up  Area,18-Dec,Electronic City,independent,1320.0,2,1,38.12,3,0
Super built-up  Area,18-Apr,Ananth Nagar,independent,1000.0,2,1,29.7,2,0
Built-up  Area,Ready To Move,KR Puram,independent,2500.0,6,3,58.0,6,1
Plot  Area,Ready To Move,Kengeri Satellite Town,independent,2480.0,2,1,160.0,2,1
Built-up  Area,Ready To Move,Kalyan nagar,jraderc,1086.0,2,2,44.5,2,0
Super built-up  Area,18-Nov,Kengeri,vbn 2lm,416.0,1,1,18.0,1,0
Built-up  Area,Ready To Move,Hennur Road,koagati,1066.0,2,1,52.23,2,0
Super built-up  Area,Ready To Move,OMBR Layout,inntsa ,1730.0,3,1,93.0,3,0
Super built-up  Area,20-Jan,Balagere,soresea,1205.0,2,1,63.86,2,0
Super built-up  Area,Ready To Move,Marathahalli,prionad,2500.0,5,2,175.0,4,0
Super built-up  Area,Ready To Move,Subramanyapura,dstik s,960.0,2,1,55.0,2,0
Super built-up  Area,18-Jul,Haralur Road,snnia e,1510.0,3,2,83.05,3,0
Built-up  Area,Ready To Move,Kanaka Nagar,independent,1600.0,4,2,90.0,4,1
Built-up  Area,Ready To Move,Old Madras Road,grlas v,2300.0,3,2,142.0,3,1
Built-up  Area,Ready To Move,Jakkasandra Extension,independent,1000.0,2,1,63.0,2,0
Super built-up  Area,19-Sep,Hormavu,independent,1553.0,2,2,58.23,3,0
Super built-up  Area,Ready To Move,Frazer Town,asuilnc,3436.0,5,0,345.0,4,0
Super built-up  Area,18-Aug,Seegehalli,independent,1134.0,2,2,45.0,2,0
Plot  Area,Ready To Move,Nagasandra,independent,600.0,4,2,80.0,4,1
Plot  Area,Ready To Move,Horamavu Agara,independent,2400.0,3,3,80.0,5,1
Plot  Area,18-Nov,Whitefield,independent,2400.0,4,1,143.0,4,1
Super built-up  Area,Ready To Move,Nagashetty Halli,independent,1350.0,2,2,65.0,2,0
Super built-up  Area,Ready To Move,Sarjapur,independent,1032.0,2,1,42.0,2,0
Super built-up  Area,Ready To Move,Tigalarpalya,spess c,1998.0,3,2,117.0,3,0
Super built-up  Area,18-Aug,Murugeshpalya,independent,1225.0,2,2,48.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,contsci,1262.0,2,2,67.0,2,0
Super built-up  Area,Ready To Move,Thomas Town,tuitein,1300.0,2,0,60.0,2,0
Super built-up  Area,18-Jun,Kothannur,independent,1070.0,2,2,38.6,2,0
Built-up  Area,21-Dec,"Electronic city Phase 1, ",independent,950.0,2,1,33.0,2,0
Super built-up  Area,18-Mar,Balagere,soresea,1012.0,2,1,53.58,2,0
Built-up  Area,Ready To Move,TC Palaya,independent,1000.0,2,0,70.0,2,1
Super built-up  Area,Ready To Move,Kadugodi,kmnorab,1394.0,2,2,56.0,2,0
Super built-up  Area,Ready To Move,Amruthahalli,prentra,1450.0,2,1,85.0,3,0
Super built-up  Area,Ready To Move, Banaswadi,krntsee,527.0,1,0,35.0,1,2
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,1693.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Horamavu Agara,dsireso,1000.0,2,1,46.0,2,0
Built-up  Area,Ready To Move,Kogilu,independent,952.0,2,2,49.0,2,0
Super built-up  Area,Ready To Move,Malleshwaram,maens g,2050.0,4,0,270.0,3,0
Super built-up  Area,Ready To Move,Kengeri,independent,1200.0,1,1,14.0,1,0
Super built-up  Area,19-Apr,Mysore Road,brama p,1410.0,2,2,64.0,3,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1400.0,2,2,108.0,2,0
Plot  Area,Ready To Move,Chikka Tirupathi,theanmp,3056.0,5,0,100.0,4,1
Super built-up  Area,Ready To Move,Sarjapur  Road,saitya ,1826.0,3,2,125.0,3,0
Super built-up  Area,18-Jun,Hosur Road,puendwe,1689.0,3,2,103.0,3,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075.0,2,1,31.0,3,0
Super built-up  Area,Ready To Move,Hennur,independent,960.0,2,1,48.0,2,0
Built-up  Area,Ready To Move,Channasandra,independent,808.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,Kodichikkanahalli,independent,907.0,2,2,38.5,2,0
Super built-up  Area,Ready To Move,Uttarahalli,akncyre,1300.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,sodilda,1804.0,3,2,150.0,3,0
Super built-up  Area,Ready To Move,Naidu Layout,independent,1350.0,3,2,81.0,3,0
Super built-up  Area,Ready To Move,Whitefield,priew p,1836.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Sugama Layout,pry 2 r,826.0,2,2,36.0,2,0
Super built-up  Area,Ready To Move,Hormavu,undraro,1200.0,2,3,68.0,2,0
Super built-up  Area,18-Dec,1st Block Koramangala,independent,3000.0,3,3,300.0,4,0
Plot  Area,Ready To Move,Indira Nagar,independent,2400.0,4,2,405.0,4,1
Super built-up  Area,Ready To Move,6th Phase JP Nagar,jclyner,1460.0,2,0,80.0,2,0
Plot  Area,Ready To Move,Hoskote,dhistee,1200.0,4,3,140.0,4,1
Super built-up  Area,Ready To Move,BTM 2nd Stage,vincyat,965.0,2,2,56.0,2,0
Carpet  Area,Ready To Move,Kothannur,independent,2000.0,4,2,95.0,4,1
Super built-up  Area,Ready To Move,Bhoganhalli,amconi ,1395.0,2,2,70.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,dsndsod,1660.0,3,2,116.0,3,0
Super built-up  Area,Ready To Move,Kada Agrahara,independent,935.0,2,2,35.0,2,0
Super built-up  Area,Ready To Move,Hongasandra,srrtsu ,1180.0,2,1,39.0,2,0
Built-up  Area,18-Dec,Electronic City,independent,1090.0,2,1,31.48,2,0
Super built-up  Area,19-Jan,Kanakpura Road,prityfa,1204.0,2,1,82.0,2,0
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072.0,4,2,153.0,3,0
Built-up  Area,Ready To Move,Haralur Road,zostaa ,1056.0,2,1,65.0,2,0
Super built-up  Area,18-Dec,Hebbal,magiaya,985.0,2,2,62.0,2,0
Super built-up  Area,Ready To Move,Banashankari Stage V,independent,1315.0,2,2,49.0,3,0
Built-up  Area,Ready To Move,KR Puram,independent,734.0,2,1,22.0,2,0
Built-up  Area,Ready To Move,Kammanahalli,independent,2900.0,4,2,200.0,4,1
Super built-up  Area,Ready To Move,Yelahanka,niareum,2317.0,4,3,140.0,3,0
Built-up  Area,Ready To Move,Singasandra,independent,600.0,1,0,45.0,1,1
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,independent,2200.0,3,0,115.0,4,1
Super built-up  Area,Ready To Move,Attibele,jae 2hu,656.0,2,1,25.0,2,0
Built-up  Area,Ready To Move,Attibele,jae 2hu,400.0,1,1,11.5,1,0
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,666.0,1,1,36.8,1,0
Plot  Area,Ready To Move,Kadubeesanahalli,independent,3293.0,5,2,425.0,4,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,shncyes,1174.0,2,1,47.0,2,0
Super built-up  Area,Ready To Move,Budigere,pritytr,1153.0,2,2,56.7,2,0
Plot  Area,Ready To Move,Jalahalli,independent,1000.0,4,1,90.0,4,1
Built-up  Area,Ready To Move,Narayanapura,independent,2400.0,5,2,85.0,5,0
Super built-up  Area,Ready To Move,Marathahalli,independent,957.0,2,1,47.0,2,0
Built-up  Area,Ready To Move,Banashankari Stage III,say 3 r,910.0,2,2,160.0,2,0
Built-up  Area,17-Dec,Sarjapur  Road,independent,1060.0,2,1,50.0,2,0
Super built-up  Area,18-Jul,Banashankari,independent,1000.0,2,1,50.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1843.0,3,2,88.0,3,0
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1150.0,2,2,40.25,3,0
Super built-up  Area,Ready To Move,Kodihalli,soianal,3197.0,5,2,335.0,4,0
Super built-up  Area,Ready To Move,Kaval Byrasandra,dencyre,1125.0,2,1,41.5,2,0
Super built-up  Area,Ready To Move,Battarahalli,sravehi,1516.0,3,3,65.0,3,0
Super built-up  Area,Ready To Move,Brookefield,srluei ,1130.0,2,2,56.0,2,0
Super built-up  Area,Ready To Move,Iblur Village,emine p,3596.0,5,1,279.0,4,0
Super built-up  Area,19-Jun,Hosa Road,sosisic,1512.0,3,2,103.0,3,0
Built-up  Area,Ready To Move,Thanisandra,bhmesy ,1491.0,3,1,88.0,3,0
Super built-up  Area,Ready To Move,Cox Town,eledst ,1250.0,2,2,95.0,2,0
Super built-up  Area,18-Aug,Banashankari,independent,1650.0,3,2,90.75,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1140.0,2,1,48.7,2,0
Plot  Area,Ready To Move,Behind Don Bosco Church,independent,1200.0,4,1,110.0,4,1
Super built-up  Area,Ready To Move,Thanisandra,rehtsna,1881.0,3,0,95.0,3,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,1100.0,3,2,56.57,3,0
Super built-up  Area,Ready To Move,Iblur Village,emine p,2666.0,4,1,200.0,3,0
Super built-up  Area,Ready To Move,Bagalur,independent,1500.0,2,1,50.0,2,0
Super built-up  Area,18-Dec,Seshadripuram,independent,1217.0,2,1,164.0,2,0
Built-up  Area,Ready To Move,Whitefield,independent,1197.0,2,1,50.0,2,0
Built-up  Area,Ready To Move,BHEL Layout,independent,2400.0,4,1,170.0,6,1
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,mauner ,1345.0,3,2,60.0,3,0
Plot  Area,Ready To Move,KR Puram,ijent a,1200.0,4,2,100.0,4,1
Super built-up  Area,Ready To Move,Bannerghatta Road,anineu ,3230.0,5,0,165.0,4,0
Super built-up  Area,Ready To Move,Banashankari Stage II,independent,1260.0,2,1,95.0,3,0
Built-up  Area,Ready To Move,Sarjapur  Road,vamarll,2750.0,5,1,240.0,4,1
Plot  Area,Ready To Move,9th Phase JP Nagar,independent,1200.0,2,0,80.0,2,1
Built-up  Area,Ready To Move,Devara Jeevanahalli,independent,1650.0,3,0,52.0,3,1
Super built-up  Area,Ready To Move,1st Block HBR Layout,independent,600.0,1,0,45.0,1,0
Super built-up  Area,Ready To Move,Uttarahalli,shony s,1025.0,2,1,35.88,2,0
Super built-up  Area,18-Dec,Sarjapur,kinuerg,2302.5,4,0,80.59,4,0
Super built-up  Area,Ready To Move,Hennur Road,koagati,973.0,2,1,56.0,2,0
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2533.0,3,3,425.0,3,0
Super built-up  Area,Ready To Move,Balagere,soresea,1007.0,2,1,75.0,2,0
Super built-up  Area,19-Mar,Hosa Road,skume r,800.0,1,0,39.99,1,0
Built-up  Area,18-Dec,Sarjapur  Road,independent,1830.0,3,1,119.0,3,1
Super built-up  Area,Ready To Move,Nagavara,independent,1077.0,2,1,50.0,2,0
Plot  Area,Ready To Move,Immadihalli,independent,672.0,1,1,27.0,1,1
Plot  Area,Ready To Move,Shanthi Layout,independent,1280.0,3,0,87.0,3,1
Built-up  Area,Ready To Move,Electronics City Phase 1,independent,865.0,2,0,40.0,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,aromee ,1000.0,2,2,33.0,2,0
Super built-up  Area,Ready To Move,CV Raman Nagar,chhamku,1285.0,2,2,65.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,pronyt ,662.0,1,1,29.0,1,0
Plot  Area,Ready To Move,Whitefield,proaksi,2297.0,5,2,269.0,5,1
Plot  Area,Ready To Move,Sarjapura - Attibele Road,independent,3750.0,6,3,295.0,5,1
Super built-up  Area,Ready To Move,Kalkere,sothin ,1850.0,3,3,95.0,3,0
Super built-up  Area,Ready To Move,Harlur,independent,1754.0,3,2,132.0,3,0
Plot  Area,Ready To Move,Hennur Bande,independent,1200.0,4,2,150.0,5,1
Super built-up  Area,Ready To Move,Anugrah Layout,saavena,1567.0,3,1,100.0,3,0
Super built-up  Area,Ready To Move,Hoskote,thiced ,1695.0,3,3,50.0,3,0
Plot  Area,Ready To Move,Hosahalli Extension,independent,360.0,2,1,40.0,2,1
Super built-up  Area,Ready To Move,Bellandur,srdids ,1150.0,2,1,69.44,2,0
Built-up  Area,18-Mar,1st Block Koramangala,independent,2350.0,3,2,210.0,3,0
Super built-up  Area,Ready To Move,Karuna Nagar,ajityin,1057.0,2,1,65.0,2,0
Super built-up  Area,19-Dec,Hebbal,raard b,1320.0,2,1,91.0,2,0
Super built-up  Area,Ready To Move,Bandepalya,jaity h,1125.0,2,1,48.0,2,0
Super built-up  Area,18-Aug,Kanakpura Road,independent,2254.0,3,2,170.0,3,0
Super built-up  Area,20-Jan,Balagere,soresea,645.0,1,1,34.18,1,0
Super built-up  Area,Ready To Move,Rachenahalli,independent,1050.0,2,2,52.08,2,0
Super built-up  Area,18-May,Panathur,saite g,1040.0,2,1,41.6,2,0
Super built-up  Area,18-Jun,Sarjapur  Road,pualesk,1700.0,3,1,194.0,3,0
Super built-up  Area,Ready To Move,1st Block Jayanagar,independent,1760.0,3,0,115.0,3,0
Super built-up  Area,19-Mar,Bellandur,nicodca,1138.0,3,2,128.0,3,0
Super built-up  Area,18-Apr,Sarjapur  Road,asastde,984.0,2,1,45.91,2,0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1140.0,2,2,38.65,2,0
Super built-up  Area,19-Dec,Whitefield,eznuee ,3596.0,3,1,200.0,3,0
Super built-up  Area,Ready To Move,Kalkere,independent,1365.0,3,2,54.0,3,0
Super built-up  Area,Ready To Move,Bethel Nagar,independent,560.0,1,0,19.0,1,0
Super built-up  Area,Ready To Move,Bellandur,independent,1540.0,4,3,45.0,4,0
Built-up  Area,Ready To Move,Electronic City,kbityo ,1050.0,2,1,39.0,3,0
Plot  Area,Ready To Move,Lingarajapuram,independent,360.0,4,3,37.0,4,1
Super built-up  Area,Ready To Move,Rachenahalli,sovar s,1550.0,3,3,72.5,3,0
Super built-up  Area,Ready To Move,Yelahanka,niareum,1653.0,3,3,93.0,3,0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,krite d,1471.0,2,3,75.0,3,0
Super built-up  Area,21-Dec,Kanakpura Road,independent,700.0,2,1,35.0,2,0
Built-up  Area,Ready To Move,Kudlu Gate,wharl p,812.0,2,1,38.25,2,0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,grhtsei,1504.0,2,2,83.0,3,0
Super built-up  Area,Ready To Move,Mahadevpura,independent,1450.0,3,2,75.0,3,0
Super built-up  Area,Ready To Move,Kannamangala,vbownre,957.0,2,2,54.5,2,0
Carpet  Area,Ready To Move,Attibele,jae 1hu,460.0,1,1,13.0,1,0
Plot  Area,Ready To Move,poornaprajna layout,independent,900.0,2,0,128.0,2,1
Super built-up  Area,Ready To Move,Budigere,pritytr,1820.0,3,2,85.0,3,0
Super built-up  Area,19-Dec,Varthur Road,independent,1033.0,2,2,32.0,2,0
Plot  Area,Ready To Move,Kumaraswami Layout,independent,800.0,1,1,90.0,2,1
Plot  Area,Ready To Move,Kadabagere,independent,520.0,2,0,29.0,1,1
Super built-up  Area,Ready To Move,OMBR Layout,independent,1165.0,2,2,88.5,2,0
Super built-up  Area,Ready To Move,Gottigere,independent,1280.0,2,1,61.0,2,0
Built-up  Area,Ready To Move,Cambridge Layout,independent,1950.0,3,3,230.0,3,0
Plot  Area,Ready To Move,BTM 4th Stage,independent,600.0,1,0,58.0,1,1
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1550.0,3,3,65.1,3,0
Super built-up  Area,Ready To Move,Nagavarapalya,puonsse,1392.0,2,1,130.0,2,0
Super built-up  Area,Ready To Move,Jigani,dlhtsan,1221.0,3,3,75.0,3,0
Super built-up  Area,Ready To Move,AMS Layout,choomu ,1000.0,1,1,19.0,1,0
Built-up  Area,Ready To Move,KR Garden,independent,1300.0,2,2,60.0,2,0
Built-up  Area,Ready To Move,Hoskote,corus c,1065.0,2,3,31.5,2,0
Built-up  Area,Ready To Move,Yelahanka New Town,khatsfl,1209.0,2,3,65.0,3,0
Plot  Area,Ready To Move,BTM 1st Stage,independent,375.0,1,0,40.0,1,1
Super built-up  Area,19-Mar,Sarjapur  Road,pualesk,1929.0,4,1,101.0,3,0
Built-up  Area,Ready To Move,Hennur Road,soncy r,1255.0,2,1,84.0,2,0
Super built-up  Area,19-Dec,Jalahalli,dsata s,1035.0,2,1,31.05,2,0
Plot  Area,Ready To Move,Annapurneshwari Nagar,independent,1200.0,5,2,270.0,4,1
Super built-up  Area,18-May,Banashankari,bregae ,1650.0,3,2,101.0,3,0
